variable,column,moran_I,p_value,EI,pattern,significant
GWR NEV提及总次数,gwr_nev_total_mentions,0.01142165190176973,0.013,-0.003389830508474576,集聚,**
GWR 充电设施提及,gwr_nev_charging,-0.0047195827690847195,0.442,-0.003389830508474576,随机分布,
GWR 电池产业提及,gwr_nev_battery,0.0004239826499180059,0.223,-0.003389830508474576,随机分布,
GWR 汽车零部件提及,gwr_nev_components,0.01779854652366884,0.005,-0.003389830508474576,集聚,***
GWR NEV政策提及,gwr_nev_policy,0.033155773264977775,0.001,-0.003389830508474576,集聚,***
交通运输设备VL指数,VL_transport_eq_interp,0.12891506313740708,0.001,-0.003389830508474576,集聚,***
市场可达性(MA),market_access_log,0.2825331424900615,0.001,-0.003389830508474576,集聚,***
供应商可达性(SA),supplier_access_log,0.28387526021926757,0.001,-0.003389830508474576,集聚,***
NEV POI数量,nev_poi_count,0.09427111972290309,0.001,-0.003389830508474576,集聚,***
地形起伏度(TRI),terrain_ruggedness,0.22536824355660676,0.001,-0.003401360544217687,集聚,***
